date, value
1/1/1998,24.7921
1/2/1998,26.5387
1/3/1998,27.8642
1/4/1998,28.5284
1/5/1998,27.9913
1/6/1998,29.0952
1/7/1998,29.4216
1/8/1998,25.1321
1/9/1998,26.7002
1/10/1998,29.1347
1/11/1998,30.8573
1/12/1998,32.5969
1/1/1999,33.3413
1/2/1999,32.265
1/3/1999,33.5167
1/4/1999,32.5495
1/5/1999,31.7367
1/6/1999,33.4644
1/7/1999,30.2257
1/8/1999,30.0366
1/9/1999,29.179
1/10/1999,28.2942
1/11/1999,28.8335
1/12/1999,30.5013
1/1/2000,27.3692
1/2/2000,26.8188
1/3/2000,29.4128
1/4/2000,27.9744
1/5/2000,27.3613
1/6/2000,28.0162
1/7/2000,26.6449
1/8/2000,28.2622
1/9/2000,26.7507
1/10/2000,28.588
1/11/2000,26.299
1/12/2000,26.4056
1/1/2001,30.0618
1/2/2001,27.2874
1/3/2001,25.5354
1/4/2001,33.9619
1/5/2001,34.1348
1/6/2001,33.2802
1/7/2001,42.7845
1/8/2001,40.0417
1/9/2001,36.7693
1/10/2001,42.9235
1/11/2001,46.1503
1/12/2001,46.4998
1/1/2002,45.7571
1/2/2002,44.8069
1/3/2002,46.453
1/4/2002,40.2737
1/5/2002,39.908
1/6/2002,37.0165
1/7/2002,30.3469
1/8/2002,30.495
1/9/2002,27.1398
1/10/2002,32.1044
1/11/2002,33.9366
1/12/2002,31.8891
1/1/2003,28.2223
1/2/2003,27.7424
1/3/2003,27.9743
1/4/2003,26.5389
1/5/2003,27.8897
1/6/2003,28.2055
1/7/2003,25.669
1/8/2003,26.1278
1/9/2003,25.8157
1/10/2003,21.5574
1/11/2003,21.7111
1/12/2003,22.8133
1/1/2004,21.7525
1/2/2004,22.0181
1/3/2004,21.6579
1/4/2004,19.7204
1/5/2004,19.9587
1/6/2004,20.3177
1/7/2004,19.0708
1/8/2004,19.1144
1/9/2004,19.2934
1/10/2004,19.3032
1/11/2004,20.0482
1/12/2004,20.6989
1/1/2005,19.5834
1/2/2005,19.9536
1/3/2005,19.5721
1/4/2005,18.2584
1/5/2005,18.8052
1/6/2005,18.8026
1/7/2005,18.5396
1/8/2005,18.3315
1/9/2005,18.4589
1/10/2005,17.2603
1/11/2005,17.8676
1/12/2005,17.8506
1/1/2006,17.615
1/2/2006,17.623
1/3/2006,17.8185
1/4/2006,17.5944
1/5/2006,17.0505
1/6/2006,17.052
1/7/2006,16.2487
1/8/2006,16.5944
1/9/2006,17.002
1/10/2006,16.9052
1/11/2006,17.1835
1/12/2006,17.4003
1/1/2007,17.2969
1/2/2007,16.9191
1/3/2007,17.0879
1/4/2007,17.4561
1/5/2007,18.0243
1/6/2007,17.7031
1/7/2007,18.5149
1/8/2007,18.7531
1/9/2007,19.4243
1/10/2007,23.4116
1/11/2007,22.3805
1/12/2007,22.1874
1/1/2008,22.8275
1/2/2008,22.0339
1/3/2008,21.9026
1/4/2008,26.9727
1/5/2008,27.2607
1/6/2008,24.9173
1/7/2008,27.5817
1/8/2008,27.918
1/9/2008,25.3832
1/10/2008,65.1042
1/11/2008,60.2312
1/12/2008,60.7023
1/1/2009,120.3907
1/2/2009,107.156
1/3/2009,116.3076
1/4/2009,116.2197
1/5/2009,122.3888
1/6/2009,122.4128
1/7/2009,78.7464
1/8/2009,81.3892
1/9/2009,84.2967
1/10/2009,20.3294
1/11/2009,21.4956
1/12/2009,21.8776
1/1/2010,17.6247
1/2/2010,18.1272
1/3/2010,19.193
1/4/2010,17.6854
1/5/2010,16.2356
1/6/2010,15.3608
1/7/2010,15.3298
1/8/2010,14.6024
1/9/2010,15.8809
1/10/2010,15.2975
1/11/2010,15.2624
1/12/2010,16.2591
1/1/2011,15.8175
1/2/2011,16.323
1/3/2011,16.3059
1/4/2011,16.2586
1/5/2011,16.0391
1/6/2011,15.7463
1/7/2011,14.8572
1/8/2011,14.0135
1/9/2011,13.0078
1/10/2011,14.414
1/11/2011,14.3411
1/12/2011,14.4635
1/1/2012,14.8228
1/2/2012,15.4244
1/3/2012,15.9077
1/4/2012,15.8998
1/5/2012,14.9037
1/6/2012,15.4932
1/7/2012,15.9459
1/8/2012,16.261
1/9/2012,16.6551
1/10/2012,16.3237
1/11/2012,16.3701
1/12/2012,16.4858
1/1/2013,17.0822
1/2/2013,17.2712
1/3/2013,17.8927
1/4/2013,17.5654
1/5/2013,17.9301
1/6/2013,17.6611
1/7/2013,17.863
1/8/2013,17.3039
1/9/2013,17.8187
1/10/2013,17.5303
1/11/2013,18.0221
1/12/2013,18.4467
1/1/2014,17.6757
1/2/2014,18.4378
1/3/2014,18.5656
1/4/2014,18.2695
1/5/2014,18.6537
1/6/2014,19.0092
1/7/2014,18.2207
1/8/2014,18.9069
1/9/2014,18.6135
1/10/2014,19.7249
1/11/2014,20.2088
1/12/2014,20.1241
1/1/2015,20.1007
1/2/2015,21.204
1/3/2015,20.8352
1/4/2015,21.9736
1/5/2015,22.2041
1/6/2015,21.7375
1/7/2015,23.2058
1/8/2015,21.7536
1/9/2015,21.1784
1/10/2015,24.0305
1/11/2015,24.0426
1/12/2015,23.6212
1/1/2016,22.4461
1/2/2016,22.3534
1/3/2016,23.8286
1/4/2016,23.7609
1/5/2016,24.1252
1/6/2016,24.147
1/7/2016,24.3978
1/8/2016,24.3681
1/9/2016,24.338
1/10/2016,22.487
1/11/2016,23.2555
1/12/2016,23.6788
1/1/2017,22.7228
1/2/2017,23.5681
1/3/2017,23.5589
1/4/2017,22.9206
1/5/2017,23.1859
1/6/2017,23.2975
1/7/2017,23.0697
1/8/2017,23.0823
1/9/2017,23.5278
1/10/2017,23.437
1/11/2017,24.0952
1/12/2017,24.3321
1/1/2018,24.4613
1/2/2018,23.5086
1/3/2018,22.8766
1/4/2018,21.6203
1/5/2018,22.0874
1/6/2018,22.1944
1/7/2018,21.599
1/8/2018,22.2526
1/9/2018,22.3482
1/10/2018,20.483
1/11/2018,20.8488
1/12/2018,18.9353
1/1/2019,20.1213
1/2/2019,20.7195
1/3/2019,21.0909
1/4/2019,21.7774
1/5/2019,20.3449
1/6/2019,21.7473
1/7/2019,22.4257
1/8/2019,22.02
1/9/2019,22.3983
1/10/2019,21.7699
1/11/2019,22.5111
1/12/2019,23.1547
1/1/2020,27.7273
1/2/2020,25.3952
1/3/2020,22.2177
1/4/2020,29.3503
1/5/2020,30.6793
1/6/2020,31.2435
1/7/2020,33.2938
1/8/2020,35.6266
1/9/2020,34.229
1/10/2020,33.282
1/11/2020,36.8614
1/12/2020,38.2297
1/1/2021,28.9722
1/2/2021,29.7282
1/3/2021,30.9898
1/4/2021,26.3364
1/5/2021,26.4809
1/6/2021,27.0692
1/7/2021,25.0628
1/8/2021,25.7894
1/9/2021,24.5626
1/10/2021,23.2748
1/11/2021,23.0808
1/12/2021,24.0874
1/1/2022,22.8162
1/2/2022,22.1007
1/3/2022,22.8913
1/4/2022,21.4914
1/5/2022,21.4925
1/6/2022,19.6889
1/7/2022,22.0777
1/8/2022,21.1407
1/9/2022,19.1662
